
[2022-10-31T10:54:46.798] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T10:57:14.793] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T10:57:20.210] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T10:57:25.152] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T10:57:26.739] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T10:59:39.905] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T10:59:41.941] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:01:40.360] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:01:42.803] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:01:43.894] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:02:55.757] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:02:57.303] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:02:59.397] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:03:00.965] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:03:03.384] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:03:04.518] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:03:23.739] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:03:52.120] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:03:53.737] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:03:54.835] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:04:10.719] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:09:44.785] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:09:46.140] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:10:08.996] [WARN] warnArchive - Estado: 404, Ruta consultada: /error/Error%20al%20crear%20la%20cuenta:%20usuario/email/telefono%20repetido, Metodo GET
[2022-10-31T11:10:09.081] [WARN] warnArchive - Estado: 404, Ruta consultada: /error/Error%20al%20crear%20la%20cuenta:%20usuario/email/template1.css, Metodo GET
[2022-10-31T11:10:09.204] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:10:37.452] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:10:38.339] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:10:47.613] [WARN] warnArchive - Estado: 404, Ruta consultada: /error/Error%20al%20crear%20la%20cuenta:%20usuario/email/telefono%20repetido, Metodo GET
[2022-10-31T11:10:47.726] [WARN] warnArchive - Estado: 404, Ruta consultada: /error/Error%20al%20crear%20la%20cuenta:%20usuario/email/template1.css, Metodo GET
[2022-10-31T11:10:47.851] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:10:50.330] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-10-31T11:11:04.049] [WARN] warnArchive - Estado: 404, Ruta consultada: /error/Error%20al%20crear%20la%20cuenta:%20usuario/email/telefono%20repetido, Metodo GET
[2022-10-31T11:11:04.174] [WARN] warnArchive - Estado: 404, Ruta consultada: /error/Error%20al%20crear%20la%20cuenta:%20usuario/email/template1.css, Metodo GET
